Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Brand,Series,Mileage (kmpl),Engine (CC),Power (bhp)
Jaipur,2016,22000,Petrol,Manual,First,5.0,4.25,Hyundai,Grand,18.9,1197.0,82.0
Mumbai,2014,10000,Petrol,Manual,First,5.0,5.5,Chevrolet,Sail,18.2,1199.0,82.4
Kolkata,2015,107000,Petrol,Manual,First,5.0,4.0,Maruti,Swift,20.85,1197.0,83.14
Kochi,2017,48198,Petrol,Manual,First,5.0,4.65,Tata,Zest,17.57,1193.0,88.7
Delhi,2015,15000,Diesel,Automatic,First,5.0,28.5,Mercedes-Benz,New,19.27,2143.0,170.0
Coimbatore,2014,80073,Diesel,Manual,First,5.0,7.11,Chevrolet,Cruze,17.3,1998.0,163.7
Hyderabad,2013,85388,Diesel,Manual,First,5.0,3.9,Maruti,Ritz,21.1,1248.0,73.9
Jaipur,2017,14700,Petrol,Manual,First,5.0,5.6,Hyundai,Grand,18.9,1197.0,81.86
Pune,2012,150000,Diesel,Manual,Third,5.0,2.25,Maruti,Dzire,28.4,1248.0,73.75
Kolkata,2011,34994,Diesel,Manual,First,5.0,3.9,Hyundai,Verna,22.32,1582.0,126.32
Coimbatore,2014,82536,Diesel,Automatic,First,5.0,28.63,Jaguar,XF,14.74,2993.0,270.9
Delhi,2013,82000,Petrol,Automatic,First,5.0,7.25,Skoda,Superb,13.7,1798.0,157.75
Pune,2006,52000,Petrol,Manual,Second,5.0,2.0,Maruti,Wagon,18.9,998.0,67.1
Mumbai,2011,20000,Petrol,Manual,First,5.0,3.5,Volkswagen,Polo,16.47,1198.0,73.9
Hyderabad,2011,55000,Petrol,Manual,First,5.0,5.0,Honda,Civic,14.8,1799.0,130.2
Ahmedabad,2015,47001,CNG,Manual,First,5.0,3.72,Maruti,Eeco,20.0,1196.0,63.0
Chennai,2014,52000,Petrol,Manual,First,5.0,3.45,Maruti,Wagon,22.5,998.0,67.04
Kolkata,2013,43284,Diesel,Manual,First,5.0,4.5,Maruti,Swift,23.4,1248.0,74.0
Coimbatore,2018,23875,Petrol,Automatic,First,5.0,14.36,Hyundai,Creta,13.0,1591.0,121.3
Bangalore,2016,51866,Petrol,Manual,First,5.0,5.5,Hyundai,Grand,18.9,1197.0,82.0
Mumbai,2013,69000,Diesel,Manual,First,5.0,3.0,Nissan,Micra,23.08,1461.0,63.1
Coimbatore,2017,62788,Petrol,Manual,First,5.0,6.08,Hyundai,Grand,18.9,1197.0,81.86
Chennai,2013,150000,Diesel,Manual,First,5.0,5.0,Volkswagen,Vento,20.54,1598.0,103.6
Kochi,2015,47566,Diesel,Automatic,First,7.0,20.25,Toyota,Fortuner,12.55,2982.0,168.5
Chennai,2002,67000,Petrol,Manual,Third,5.0,1.2,Hyundai,Santro,,999.0,
Pune,2018,20300,Diesel,Automatic,First,7.0,18.0,Toyota,Innova,11.36,2755.0,171.5
Pune,2015,48300,Diesel,Automatic,First,5.0,17.5,Mercedes-Benz,A,20.0,2143.0,107.3
Pune,2013,30000,Petrol,Manual,First,5.0,2.1,Hyundai,EON,21.1,814.0,55.2
Bangalore,2012,36000,Diesel,Manual,Second,5.0,7.5,Hyundai,Elantra,22.7,1582.0,126.24
Kochi,2015,27641,Diesel,Automatic,Second,4.0,24.77,Mini,Cooper,20.7,1496.0,113.98
Bangalore,2015,60000,Diesel,Manual,First,5.0,8.65,Renault,Duster,19.64,1461.0,108.45
Chennai,2019,9000,Diesel,Automatic,First,7.0,35.5,Ford,Endeavour,10.91,3198.0,197.0
Delhi,2014,60750,Petrol,Manual,First,5.0,10.5,Toyota,Corolla,14.28,1798.0,138.03
Delhi,2018,9000,Diesel,Manual,First,7.0,13.0,Mahindra,XUV500,14.0,2179.0,155.0
Kolkata,2012,41100,Diesel,Automatic,First,5.0,26.5,BMW,7,16.77,2993.0,261.49
Ahmedabad,2004,60000,Petrol,Manual,Second,5.0,1.4,Maruti,Wagon,17.3,1061.0,64.0
Kochi,2017,38424,Petrol,Manual,First,5.0,7.51,Honda,City,17.8,1497.0,117.3
Delhi,2014,50000,Diesel,Manual,First,5.0,4.3,Maruti,Swift,22.9,1248.0,74.0
Mumbai,2015,19000,Petrol,Automatic,First,5.0,8.95,Honda,City,18.0,1497.0,117.3
Kochi,2015,58734,Diesel,Manual,First,7.0,6.91,Maruti,Ertiga,20.77,1248.0,88.76
Coimbatore,2016,65257,Diesel,Manual,First,5.0,9.75,Renault,Duster,19.01,1461.0,108.45
Jaipur,2010,130000,Diesel,Manual,Second,5.0,4.0,Maruti,Swift,19.3,1248.0,73.9
Hyderabad,2011,79000,Diesel,Manual,First,5.0,3.65,Maruti,Ritz,23.2,1248.0,73.94
Chennai,2013,78000,Diesel,Manual,First,7.0,10.75,Mahindra,XUV500,15.1,2179.0,140.0
Kochi,2015,49133,Petrol,Manual,First,5.0,4.51,Honda,Brio,19.4,1198.0,86.8
Coimbatore,2016,22769,Diesel,Automatic,First,5.0,49.22,Mercedes-Benz,M-Class,,2987.0,165.0
Coimbatore,2014,54448,Diesel,Manual,First,5.0,3.7,Tata,Manza,21.02,1248.0,88.8
Hyderabad,2014,158793,Diesel,Manual,First,7.0,12.99,Toyota,Innova,12.8,2494.0,102.0
Delhi,2015,62088,Petrol,Manual,First,5.0,4.15,Maruti,Swift,18.6,1197.0,85.8
Kolkata,2012,14800,Petrol,Manual,First,5.0,4.4,Hyundai,Verna,17.01,1591.0,121.3
Kolkata,2015,26000,Petrol,Manual,First,7.0,4.25,Honda,Mobilio,17.3,1497.0,117.3
Mumbai,2017,32005,Petrol,Manual,First,5.0,4.25,Honda,Amaze,18.0,1198.0,86.7
Jaipur,2017,35000,Petrol,Automatic,First,5.0,7.7,Honda,City,18.0,1497.0,117.3
Pune,2015,52000,Diesel,Automatic,First,5.0,39.75,Land,Rover,12.7,2179.0,187.7
Mumbai,2017,11000,Petrol,Manual,First,5.0,8.5,Honda,City,17.4,1497.0,117.3
Jaipur,2008,62000,Petrol,Automatic,First,5.0,7.0,Mercedes-Benz,E-Class,9.5,2997.0,231.1
Chennai,2002,65134,Petrol,Manual,Third,5.0,0.8,Ford,Ikon,13.8,1299.0,70.0
Delhi,2013,71000,Diesel,Manual,First,7.0,15.25,Toyota,Fortuner,13.0,2982.0,168.5
Hyderabad,2008,51366,Petrol,Manual,First,5.0,2.25,Maruti,A-Star,19.0,998.0,66.1
Kolkata,2016,46300,Diesel,Manual,First,7.0,4.85,Tata,Sumo,14.07,1948.0,83.1
Coimbatore,2012,60908,Petrol,Automatic,Second,5.0,6.42,Honda,City,15.6,1497.0,116.3
Chennai,2012,93450,Diesel,Manual,Second,5.0,2.5,Nissan,Micra,23.19,1461.0,63.12
Hyderabad,2011,104000,Diesel,Automatic,First,5.0,5.75,Hyundai,Verna,19.08,1582.0,126.32
Pune,2003,52000,Petrol,Manual,First,4.0,0.5,Maruti,800,16.1,796.0,37.0
Coimbatore,2015,42999,Diesel,Manual,First,7.0,11.52,Mahindra,XUV500,15.1,2179.0,140.0
Delhi,2014,90000,Diesel,Manual,First,5.0,4.5,Maruti,SX4,21.5,1248.0,88.8
Bangalore,2013,72000,Petrol,Automatic,First,5.0,4.75,Hyundai,i20,15.0,1396.0,98.6
Coimbatore,2019,54321,Diesel,Manual,First,5.0,13.54,Hyundai,Creta,19.67,1582.0,126.2
Kochi,2015,59630,Diesel,Automatic,First,5.0,23.41,Mercedes-Benz,E-Class,13.0,2143.0,201.1
Hyderabad,2013,116000,Diesel,Automatic,Second,7.0,19.25,Toyota,Fortuner,12.55,2982.0,168.5
Ahmedabad,2015,34000,Diesel,Automatic,First,5.0,20.0,Volvo,S60,9.0,1984.0,181.0
Delhi,2011,70000,Diesel,Automatic,First,5.0,13.0,Mercedes-Benz,E-Class,14.21,2143.0,203.0
Chennai,2010,80000,Petrol,Manual,First,5.0,3.99,Honda,Accord,10.2,2354.0,180.0
Pune,2015,110000,Diesel,Manual,First,5.0,4.65,Honda,Amaze,25.8,1498.0,98.6
Ahmedabad,2013,56454,Diesel,Manual,First,5.0,4.65,Maruti,Dzire,28.4,1248.0,73.75
Kolkata,2013,60000,Petrol,Manual,First,5.0,3.15,Maruti,Swift,18.6,1197.0,85.8
Delhi,2013,56000,Petrol,Automatic,First,5.0,8.25,Toyota,Corolla,14.53,1798.0,138.1
Bangalore,2012,63000,Diesel,Automatic,Second,5.0,65.0,Land,Rover,11.49,4367.0,335.3
Chennai,2012,63000,Diesel,Manual,First,5.0,4.5,Maruti,Swift,22.9,1248.0,74.0
Kolkata,2017,15050,Diesel,Manual,First,5.0,17.5,Jeep,Compass,16.3,1956.0,170.0
Mumbai,2016,29401,Petrol,Manual,First,5.0,4.31,Maruti,Swift,20.4,1197.0,81.8
Kochi,2016,25238,Petrol,Manual,First,5.0,6.2,Honda,Jazz,18.7,1199.0,88.7
Chennai,2011,79000,Diesel,Manual,First,5.0,4.67,Toyota,Etios,23.59,1364.0,
Kochi,2011,58752,Petrol,Manual,First,5.0,3.32,Volkswagen,Polo,16.47,1198.0,73.9
Delhi,2011,62000,Petrol,Automatic,First,5.0,3.75,Honda,Civic,12.9,1799.0,130.0
Bangalore,2013,132000,Petrol,Manual,First,5.0,4.7,Toyota,Etios,16.78,1496.0,88.73
Chennai,2016,51000,Petrol,Manual,First,5.0,6.5,Hyundai,Verna,17.01,1591.0,121.3
Hyderabad,2009,185200,Diesel,Manual,First,8.0,7.25,Toyota,Innova,12.8,2494.0,102.0
Coimbatore,2016,61717,Diesel,Manual,First,5.0,8.94,Maruti,SX4,22.7,1598.0,118.0
Kolkata,2018,8896,Petrol,Manual,First,5.0,7.34,Ford,Freestyle,19.0,1194.0,94.68
Delhi,2016,17000,Petrol,Manual,First,5.0,6.9,Maruti,Baleno,21.4,1197.0,83.1
Mumbai,2016,31378,Petrol,Manual,First,5.0,5.9,Honda,Jazz,18.2,1199.0,88.7
Pune,2013,114000,Diesel,Automatic,First,5.0,6.75,Hyundai,Verna,22.32,1582.0,126.3
Ahmedabad,2014,81000,Diesel,Manual,First,5.0,4.1,Honda,Amaze,25.8,1498.0,98.6
Mumbai,2017,31000,Diesel,Automatic,First,5.0,27.0,Audi,Q3,18.51,1968.0,147.51
Mumbai,2014,35000,Petrol,Manual,First,5.0,4.5,Skoda,Rapid,15.0,1598.0,103.52
Kolkata,2013,60001,Diesel,Automatic,First,5.0,14.5,Audi,A4,17.11,1968.0,174.33
Jaipur,2014,75074,Diesel,Manual,First,5.0,5.25,Maruti,Swift,23.4,1248.0,74.0
Kolkata,2012,80000,Diesel,Manual,Second,5.0,1.2,Tata,Indica,22.3,1248.0,74.0
Jaipur,2006,147350,Diesel,Manual,Second,8.0,4.95,Toyota,Innova,12.99,2494.0,100.6
Hyderabad,2013,60000,Diesel,Manual,First,5.0,7.5,Renault,Duster,19.64,1461.0,108.45
Kolkata,2015,7501,Petrol,Automatic,First,4.0,48.0,Mercedes-Benz,E-Class,10.0,2996.0,333.0
Delhi,2015,58000,Diesel,Manual,First,5.0,4.45,Honda,Amaze,25.8,1498.0,98.6
Coimbatore,2018,29277,Diesel,Automatic,First,5.0,59.65,Mercedes-Benz,GLE,11.57,2987.0,254.79
Kochi,2015,57034,Diesel,Manual,First,5.0,4.38,Maruti,Ritz,23.2,1248.0,73.94
Kochi,2016,40810,Diesel,Manual,First,5.0,7.9,Maruti,Ciaz,28.09,1248.0,88.5
Bangalore,2008,35268,Petrol,Manual,Second,5.0,1.88,Hyundai,Santro,,1086.0,62.0
Mumbai,2008,81000,Diesel,Automatic,Second,,10.5,BMW,5,18.48,,
Coimbatore,2018,34630,Petrol,Automatic,First,5.0,7.29,Maruti,Baleno,21.4,1197.0,83.1
Hyderabad,2012,45122,Diesel,Manual,First,5.0,6.0,Ford,Fiesta,23.5,1498.0,88.7
Chennai,2011,126000,Diesel,Manual,Third,7.0,6.7,Mahindra,XUV500,16.0,2179.0,140.0
Jaipur,2009,63000,Petrol,Manual,First,5.0,1.5,Maruti,Alto,19.7,796.0,46.3
Kochi,2016,32298,Diesel,Automatic,First,4.0,23.8,Mini,Cooper,20.7,1496.0,113.98
Kochi,2014,63288,Diesel,Manual,First,7.0,7.77,Mahindra,XUV500,15.1,2179.0,140.0
Coimbatore,2012,43337,Petrol,Manual,First,5.0,3.32,Hyundai,Santro,17.92,1086.0,62.1
Kochi,2015,46561,Diesel,Manual,First,5.0,4.94,Maruti,Swift,22.9,1248.0,74.0
Delhi,2013,34000,Diesel,Automatic,Second,5.0,11.0,Mercedes-Benz,A,20.0,2143.0,107.3
Hyderabad,2016,48000,Petrol,Manual,First,5.0,3.4,Renault,KWID,25.17,799.0,53.3
Kochi,2013,56263,Diesel,Manual,First,5.0,4.17,Maruti,Swift,22.9,1248.0,74.0
Hyderabad,2005,84060,Petrol,Manual,Second,5.0,1.25,Maruti,Zen,17.3,993.0,60.0
Mumbai,2016,9000,Petrol,Automatic,First,5.0,5.45,Hyundai,Grand,18.9,1197.0,82.0
Jaipur,2012,79000,Diesel,Manual,First,5.0,2.59,Tata,Manza,21.12,1248.0,88.8
Pune,2015,87900,Diesel,Manual,First,7.0,12.01,Mahindra,XUV500,16.0,2179.0,140.0
Delhi,2010,72425,Petrol,Manual,Second,5.0,2.45,Maruti,Swift,17.5,1197.0,85.8
Bangalore,2015,38000,Diesel,Automatic,First,5.0,29.0,Audi,Q3,15.73,1968.0,174.33
Hyderabad,2008,83000,Diesel,Manual,Second,5.0,2.4,Ford,Fiesta,17.8,1399.0,
Hyderabad,2010,107000,Diesel,Automatic,First,5.0,11.99,Mercedes-Benz,New,14.84,2143.0,170.0
Delhi,2015,51000,Petrol,Automatic,First,5.0,7.9,Honda,City,18.0,1497.0,117.3
Pune,2010,140000,Diesel,Manual,Third,7.0,6.25,Toyota,Innova,12.8,2494.0,102.0
Pune,2011,48000,Petrol,Manual,Second,5.0,1.8,Chevrolet,Beat,18.6,1199.0,79.4
Delhi,2013,62000,CNG,Manual,First,5.0,2.8,Maruti,Wagon,26.6,998.0,58.16
Mumbai,2015,31000,Petrol,Manual,First,5.0,4.9,Honda,Jazz,18.7,1199.0,88.7
Jaipur,2010,75055,Petrol,Manual,First,5.0,2.25,Nissan,Micra,18.06,1198.0,75.0
Coimbatore,2017,51210,Petrol,Automatic,First,5.0,8.89,Maruti,Ciaz,19.12,1373.0,91.1
Mumbai,2012,87000,Diesel,Automatic,First,7.0,15.0,Toyota,Fortuner,12.55,2982.0,168.5
Kolkata,2018,17000,Diesel,Manual,First,5.0,5.65,Ford,Aspire,26.1,1498.0,99.0
Jaipur,2014,57000,Diesel,Manual,First,7.0,7.0,Maruti,Ertiga,20.77,1248.0,88.8
Hyderabad,2016,9370,Petrol,Manual,First,5.0,2.95,Maruti,Alto,22.74,796.0,47.3
Chennai,2013,53226,Petrol,Manual,First,5.0,3.3,Honda,Brio,19.4,1198.0,86.8
Hyderabad,2010,120000,Diesel,Manual,Second,5.0,3.5,Hyundai,Verna,16.2,1493.0,110.0
Jaipur,2007,75055,Petrol,Manual,First,5.0,2.3,Honda,City,12.8,1493.0,100.0
Coimbatore,2017,37247,Diesel,Manual,First,5.0,13.69,Hyundai,Creta,19.67,1582.0,126.2
Delhi,2013,64000,Diesel,Manual,First,5.0,3.1,Toyota,Etios,23.59,1364.0,67.06
Mumbai,2014,12000,Petrol,Manual,First,5.0,12.75,Hyundai,Sonata,13.44,2359.0,198.25
Pune,2017,40158,Diesel,Manual,First,5.0,13.75,Hyundai,Creta,19.67,1582.0,126.2
Chennai,2017,11000,Petrol,Manual,First,5.0,6.75,Honda,Jazz,18.7,1199.0,88.7
Chennai,2014,70010,Diesel,Manual,First,5.0,5.25,Volkswagen,Vento,20.54,1598.0,103.6
Mumbai,2015,82000,Diesel,Manual,First,7.0,8.75,Mahindra,XUV500,16.0,2179.0,140.0
Kochi,2017,57259,Diesel,Manual,First,7.0,8.87,Mahindra,TUV,18.49,1493.0,100.0
Bangalore,2010,84000,Petrol,Automatic,Second,5.0,6.5,Honda,Accord,11.1,2354.0,142.0
Pune,2012,168000,Diesel,Manual,First,7.0,4.5,Maruti,Ertiga,20.77,1248.0,88.76
Hyderabad,2012,73670,Diesel,Manual,First,7.0,12.5,Mahindra,Ssangyong,12.83,2696.0,162.0
Delhi,2014,89540,Diesel,Automatic,First,7.0,16.8,Toyota,Fortuner,12.55,2982.0,168.5
Hyderabad,2016,85423,Diesel,Manual,First,7.0,8.75,Maruti,Ertiga,20.77,1248.0,88.8
Pune,2013,48823,Diesel,Automatic,First,5.0,8.5,Hyundai,Elantra,19.5,1582.0,126.24
Kolkata,2011,35082,Petrol,Manual,First,5.0,2.21,Hyundai,i10,20.36,1197.0,78.9
Jaipur,2012,126000,Petrol,Manual,First,5.0,1.6,Maruti,Omni,16.8,796.0,34.2
Delhi,2016,19000,Petrol,Automatic,First,5.0,6.25,Honda,Amaze,15.5,1198.0,86.7
Mumbai,2007,69000,Petrol,Automatic,Second,5.0,2.25,Honda,Civic,12.9,1799.0,130.0
Kochi,2019,29836,Diesel,Automatic,First,5.0,25.75,Mercedes-Benz,CLA,17.9,2143.0,136.0
Ahmedabad,2010,48002,Petrol,Manual,Second,5.0,6.75,Skoda,Superb,13.14,1798.0,157.8
Ahmedabad,2015,52324,Diesel,Manual,First,5.0,6.25,Maruti,Ciaz,28.09,1248.0,88.5
Delhi,2013,65000,Diesel,Manual,First,5.0,5.1,Ford,Ecosport,22.7,1498.0,89.84
Mumbai,2009,66000,Diesel,Automatic,Second,5.0,10.75,Mercedes-Benz,M-Class,8.7,2987.0,224.34
Hyderabad,2016,75700,Diesel,Manual,First,5.0,5.7,Hyundai,Grand,24.0,1120.0,70.0
Bangalore,2013,43000,Diesel,Manual,First,5.0,5.95,Volkswagen,Vento,20.5,1598.0,105.0
Kochi,2012,42706,Diesel,Manual,First,5.0,2.4,Chevrolet,Beat,25.44,936.0,56.3
Mumbai,2013,35000,Diesel,Manual,First,7.0,3.49,Mahindra,Quanto,17.21,1493.0,100.0
Hyderabad,2011,54348,Petrol,Automatic,First,5.0,4.0,Hyundai,i10,19.2,1197.0,80.0
Delhi,2013,84000,Diesel,Manual,First,5.0,3.85,Toyota,Etios,23.59,1364.0,67.04
Mumbai,2010,63298,Petrol,Automatic,First,5.0,3.95,Toyota,Corolla,14.53,1794.0,138.1
Jaipur,2013,75049,Petrol,Manual,Second,5.0,3.0,Hyundai,i10,20.36,1197.0,78.9
Kochi,2018,24237,Petrol,Manual,First,5.0,6.7,Ford,Figo,18.16,1196.0,86.8
Coimbatore,2016,22767,Petrol,Manual,First,5.0,6.14,Maruti,Ritz,18.5,1197.0,85.8
Bangalore,2012,58000,Petrol,Automatic,Second,5.0,4.4,Hyundai,i20,15.0,1396.0,98.6
Pune,2017,57000,Diesel,Manual,First,5.0,4.25,Maruti,Swift,26.59,1248.0,74.0
Kochi,2010,50161,Petrol,Automatic,First,5.0,25.93,BMW,7,8.77,4395.0,402.0
Kolkata,2016,45000,Diesel,Manual,First,5.0,7.0,Maruti,S,22.7,1598.0,118.0
Coimbatore,2017,68319,Diesel,Automatic,First,7.0,25.12,Toyota,Fortuner,12.55,2982.0,168.5
Kochi,2017,30711,Petrol,Manual,First,5.0,4.45,Hyundai,EON,20.3,998.0,68.05
Kolkata,2011,38277,Diesel,Manual,First,5.0,2.4,Hyundai,i20,21.9,1396.0,90.0
Pune,2012,115000,Diesel,Manual,Second,5.0,4.33,Volkswagen,Vento,20.54,1598.0,103.6
Coimbatore,2017,46849,Petrol,Automatic,First,5.0,6.93,Maruti,Swift,18.5,1197.0,83.14
Ahmedabad,2014,64000,Diesel,Manual,First,5.0,4.25,Hyundai,i20,21.9,1396.0,90.0
Pune,2010,130923,Diesel,Automatic,First,5.0,12.5,Mercedes-Benz,E-Class,14.21,2143.0,203.0
Chennai,2015,15000,Petrol,Manual,First,5.0,4.9,Hyundai,Grand,18.9,1197.0,82.0
Mumbai,2014,32720,Diesel,Manual,First,5.0,4.5,Hyundai,i20,23.0,1396.0,90.0
Jaipur,2016,12500,Petrol,Manual,First,5.0,3.0,Renault,KWID,25.17,799.0,53.3
Chennai,2015,59800,Petrol,Automatic,First,5.0,5.8,Hyundai,Xcent,16.9,1197.0,82.0
Pune,2011,54211,Petrol,Manual,First,5.0,3.33,Volkswagen,Vento,15.04,1598.0,103.6
Kochi,2015,62242,Diesel,Automatic,First,5.0,6.62,Chevrolet,Cruze,14.39,1998.0,163.7
Mumbai,2015,54000,Diesel,Manual,Second,5.0,5.75,Nissan,Terrano,19.01,1461.0,108.5
Hyderabad,2012,65000,Diesel,Manual,First,5.0,6.2,Hyundai,Verna,22.32,1582.0,126.32
Chennai,2015,55000,Petrol,Automatic,First,5.0,3.5,Maruti,Celerio,23.1,998.0,67.04
Pune,2010,71000,Petrol,Manual,First,5.0,2.0,Maruti,Wagon,18.9,998.0,67.1
Chennai,2012,70000,Diesel,Manual,First,5.0,4.0,Hyundai,i20,21.9,1396.0,88.8
Mumbai,2011,53000,Petrol,Automatic,First,5.0,9.5,Audi,A4,12.3,1781.0,163.2
Mumbai,2013,43000,Diesel,Automatic,First,5.0,17.5,BMW,X1,17.05,1995.0,184.0
Mumbai,2015,54000,Petrol,Automatic,First,5.0,6.11,Skoda,Rapid,14.3,1598.0,103.52
Ahmedabad,2014,51000,Petrol,Manual,First,5.0,3.75,Hyundai,i10,20.36,1197.0,78.9
Hyderabad,2007,78000,Diesel,Manual,Second,6.0,6.2,Mitsubishi,Pajero,10.5,2835.0,107.2
Mumbai,2014,25000,Diesel,Manual,First,5.0,6.15,Honda,City,26.0,1498.0,98.6
Pune,2012,12600,Petrol,Manual,First,5.0,2.4,Maruti,Alto,20.92,998.0,67.1
Pune,2009,80000,Diesel,Manual,Fourth & Above,5.0,2.15,Maruti,Swift,17.8,1248.0,75.0
Kolkata,2016,21000,Petrol,Manual,First,5.0,3.75,Hyundai,Grand,18.9,1197.0,82.0
Mumbai,2011,32000,Petrol,Manual,Second,5.0,2.15,Ford,Figo,15.6,1196.0,70.0
Bangalore,2015,50000,Petrol,Manual,First,5.0,4.75,Hyundai,Grand,18.9,1197.0,81.86
Mumbai,2010,47500,Petrol,Manual,First,5.0,2.45,Maruti,SX4,15.5,1586.0,103.3
Mumbai,2017,7500,Petrol,Manual,First,5.0,11.15,Honda,City,17.4,1497.0,117.3
Jaipur,2016,68163,Diesel,Automatic,First,5.0,8.9,Renault,Duster,19.6,1461.0,108.45
Ahmedabad,2014,61000,Diesel,Manual,First,5.0,4.35,Honda,Amaze,25.8,1498.0,98.6
Jaipur,2015,100000,Diesel,Manual,Second,7.0,12.0,Toyota,Innova,12.99,2494.0,100.6
Mumbai,2009,61500,Diesel,Automatic,Second,5.0,8.5,BMW,3,16.07,1995.0,181.0
Kochi,2017,42883,Petrol,Manual,First,5.0,4.27,Hyundai,i10,19.81,1086.0,68.05
Jaipur,2012,97000,Diesel,Manual,Second,5.0,4.25,Renault,Duster,20.45,1461.0,83.8
Bangalore,2010,39525,Petrol,Automatic,First,5.0,9.25,Mitsubishi,Outlander,11.3,2360.0,170.0
Kochi,2017,35384,Diesel,Manual,First,5.0,8.61,Maruti,Vitara,24.3,1248.0,88.5
Hyderabad,2010,46000,Diesel,Automatic,First,7.0,28.0,Mercedes-Benz,R-Class,11.8,2987.0,261.0
Coimbatore,2018,32189,Diesel,Manual,First,5.0,9.25,Ford,EcoSport,23.0,1498.0,98.96
Chennai,2016,27000,Diesel,Automatic,First,5.0,8.6,Hyundai,Verna,19.08,1582.0,126.2
Coimbatore,2018,22734,Petrol,Manual,First,5.0,7.53,Volkswagen,Polo,16.47,1198.0,74.0
Mumbai,2014,58002,Diesel,Manual,First,5.0,5.75,Renault,Duster,19.64,1461.0,108.45
Chennai,2012,31500,Petrol,Automatic,First,5.0,4.15,Honda,Brio,16.5,1198.0,86.8
Coimbatore,2017,30933,Petrol,Manual,First,5.0,5.84,Ford,Figo,18.16,1196.0,86.8
Kolkata,2012,27090,Diesel,Automatic,First,5.0,16.5,Audi,A6,18.53,1968.0,187.74
Mumbai,2015,29500,Diesel,Automatic,First,7.0,43.0,BMW,X5,15.97,2993.0,258.0
Pune,2013,45000,Petrol,Manual,First,5.0,3.55,Hyundai,i10,20.36,1197.0,78.9
Hyderabad,2018,11691,Petrol,Manual,First,5.0,8.9,Hyundai,i20,18.6,1197.0,81.83
Hyderabad,2006,121000,Diesel,Manual,Second,5.0,2.5,Skoda,Octavia,16.4,1896.0,90.0
Hyderabad,2010,118077,Diesel,Manual,First,5.0,3.85,Hyundai,Verna,16.2,1493.0,110.0
Chennai,2012,36300,Petrol,Automatic,Third,5.0,7.5,Hyundai,Verna,17.1,1591.0,121.4
Mumbai,2005,90000,Petrol,Manual,Second,5.0,1.8,Hyundai,Getz,15.3,1341.0,61.0
Chennai,2010,78000,Diesel,Manual,First,5.0,2.25,Ford,Figo,20.0,1399.0,68.0
Mumbai,2015,42000,Diesel,Automatic,First,5.0,24.25,Audi,A6,17.68,1968.0,174.33
Mumbai,2015,27000,Petrol,Manual,First,5.0,4.35,Volkswagen,Polo,16.47,1198.0,74.0
Kolkata,2012,22000,Diesel,Automatic,First,5.0,11.5,BMW,X1,17.05,1995.0,184.0
Kolkata,2014,49000,Petrol,Manual,First,5.0,4.75,Honda,City,17.4,1497.0,117.3
Hyderabad,2012,42600,Diesel,Manual,First,5.0,4.99,Hyundai,i20,23.0,1396.0,90.0
Coimbatore,2018,12794,Petrol,Automatic,First,5.0,9.15,Honda,Jazz,19.0,1199.0,88.7
Jaipur,2006,125000,Petrol,Manual,Fourth & Above,,2.35,Maruti,Swift,16.1,,
Hyderabad,2014,88046,Petrol,Automatic,First,5.0,13.99,Honda,CR-V,10.1,2354.0,152.0
Bangalore,2014,8000,Diesel,Automatic,Second,5.0,19.75,Mercedes-Benz,A,20.0,2143.0,107.3
Coimbatore,2018,82739,Diesel,Automatic,First,7.0,16.77,Mahindra,XUV500,16.0,2179.0,140.0
Bangalore,2006,193000,Diesel,Manual,Third,7.0,2.5,Mahindra,Bolero,13.6,2523.0,63.0
Mumbai,2013,7000,Petrol,Automatic,First,5.0,3.65,Renault,Scala,17.97,1498.0,99.6
Ahmedabad,2012,60000,Diesel,Automatic,Second,5.0,23.5,Land,Rover,12.35,2179.0,187.74
Pune,2017,38000,Petrol,Manual,First,5.0,3.11,Maruti,Alto,22.74,796.0,47.3
Kochi,2013,56344,Petrol,Manual,First,5.0,4.57,Toyota,Etios,17.6,1496.0,88.73
Mumbai,2014,17858,Petrol,Manual,First,5.0,5.32,Hyundai,i20,17.0,1197.0,80.0
Hyderabad,2012,53000,Petrol,Manual,First,5.0,3.2,Hyundai,i10,20.36,1197.0,78.9
Kochi,2016,67906,Diesel,Manual,First,5.0,5.63,Maruti,Swift,25.2,1248.0,74.0
Hyderabad,2015,19000,Petrol,Manual,First,5.0,3.0,Hyundai,EON,21.1,814.0,55.2
Mumbai,2010,67000,Diesel,Automatic,Second,5.0,9.25,BMW,3,22.69,1995.0,190.0
Delhi,2011,80000,Diesel,Manual,First,5.0,1.2,Tata,Indigo,23.57,1396.0,70.0
Delhi,2015,61000,Petrol,Manual,First,5.0,2.15,Maruti,Alto,22.74,796.0,47.3
Pune,2010,39000,Diesel,Manual,First,5.0,3.05,Volkswagen,Polo,22.07,1199.0,73.9
Ahmedabad,2014,59000,Petrol,Automatic,First,5.0,11.5,Toyota,Corolla,14.28,1798.0,138.03
Hyderabad,2008,80931,Petrol,Manual,First,5.0,2.3,Hyundai,Santro,17.92,1086.0,62.1
Kolkata,2016,34000,Petrol,Manual,First,5.0,4.95,Maruti,Swift,20.4,1197.0,81.8
